DS_Name,DS_Address,EE_Name,EE_Address,ED_Name,ED_Address,Match
zacsconvenience,1977keelestreet,zorrosbarandcafe,18satterlyroad,32,28,u
zacsconvenience,1977keelestreet,zoulpys,244kingstreeteast,18,44,u
zacsconvenience,1977keelestreet,zoulpysdelirestaurant,244kingstreeteast,33,44,u
zacsconvenience,1977keelestreet,zpicyspicy,1415yongestreet,40,53,u
zacsconvenience,1977keelestreet,zsazsa,2277bloorstreetwest,29,53,u
zacsconvenience,1977keelestreet,zsbar,2833westonroad,20,28,u
zacsconvenience,1977keelestreet,zteca,199baystreet,30,59,u
zacsconvenience,1977keelestreet,zteca,327kingstreetwest,30,50,u
zacsconvenience,1977keelestreet,ztecafoods,66gerrardstreeteast,24,41,u
zacsconvenience,1977keelestreet,ztecagourmetburritos,1800sheppardavenueeast,29,32,u
zacsconvenience,1977keelestreet,ztecagourmetburritos,327kingstreetwest,29,50,u
zacsconvenience,1977keelestreet,ztecagourmetburritos,2014queenstreeteast,29,53,u
zacsconvenience,1977keelestreet,ztecagourmetburritos,66gerrardstreeteast,29,41,u
zacsconvenience,1977keelestreet,ztecagourmetburritos,4700keelestreet,29,80,u
zacsconvenience,1977keelestreet,ztecamexicaneatery,175bloorstreeteast,36,55,u
zacsconvenience,1977keelestreet,zuccatrattoria,2150yongestreet,34,53,u
zacsconvenience,1977keelestreet,zucchero,2590westonroad,35,34,u
zacsconvenience,1977keelestreet,zuchterberkcreativecaterers,3560bathurststreet,38,36,u
zacsconvenience,1977keelestreet,zuchterberkcreativecaterers,4600bathurststreet,38,36,u
zacsconvenience,1977keelestreet,zumojuicebar,619collegestreet,37,65,u
zacsconvenience,1977keelestreet,zupasrestaurantdeli,34212adelaidestreetwest,35,53,u
zacsconvenience,1977keelestreet,zykafinefoodsbbq,2535wardenavenue,32,19,u
zacsconvenience,1977keelestreet,zyngasianmarketandnoodlery,730yongestreet,39,55,u
zacsconvenience,1977keelestreet,zytoon,397roncesvallesavenue,29,44,u
